cohort_semester,percentage,current_transaction_semester,semester_distance
2019-S2,1.0,2019-S2,0
2019-S2,0.02968036529680365,2020-S1,1
2019-S2,0.0136986301369863,2020-S2,2
2019-S2,0.02968036529680365,2021-S1,3
2019-S2,0.02968036529680365,2021-S2,4
2019-S2,0.02968036529680365,2022-S1,5
2019-S2,0.0228310502283105,2022-S2,6
2019-S2,0.0273972602739726,2023-S1,7
2019-S2,0.0319634703196347,2023-S2,8
2020-S1,1.0,2020-S1,0
2020-S1,0.022222222222222223,2020-S2,1
2020-S1,0.03827160493827161,2021-S1,2
2020-S1,0.022222222222222223,2021-S2,3
2020-S1,0.022222222222222223,2022-S1,4
2020-S1,0.028395061728395062,2022-S2,5
2020-S1,0.030864197530864196,2023-S1,6
2020-S1,0.020987654320987655,2023-S2,7
2020-S2,1.0,2020-S2,0
2020-S2,0.025327510917030567,2021-S1,1
2020-S2,0.022707423580786028,2021-S2,2
2020-S2,0.03668122270742358,2022-S1,3
2020-S2,0.032314410480349345,2022-S2,4
2020-S2,0.028820960698689956,2023-S1,5
2020-S2,0.032314410480349345,2023-S2,6
2021-S1,1.0,2021-S1,0
2021-S1,0.03310852237890864,2021-S2,1
2021-S1,0.0269773145309626,2022-S1,2
2021-S1,0.034334763948497854,2022-S2,3
2021-S1,0.029429797670141016,2023-S1,4
2021-S1,0.03372164316370325,2023-S2,5
2021-S2,1.0,2021-S2,0
2021-S2,0.03278688524590164,2022-S1,1
2021-S2,0.03527074018877298,2022-S2,2
2021-S2,0.03427719821162444,2023-S1,3
2021-S2,0.03427719821162444,2023-S2,4
2022-S1,1.0,2022-S1,0
2022-S1,0.04344512195121951,2022-S2,1
2022-S1,0.040396341463414635,2023-S1,2
2022-S1,0.036585365853658534,2023-S2,3
2022-S2,1.0,2022-S2,0
2022-S2,0.04932606825351305,2023-S1,1
2022-S2,0.05362776025236593,2023-S2,2
2023-S1,1.0,2023-S1,0
2023-S1,0.0697522816166884,2023-S2,1
2023-S2,1.0,2023-S2,0
